file,identifier,session_description,session_start_time,subject,acquisition_keys,processing_keys,interval_keys,has_units,unit_columns,n_units
data\raw\dandi_000939\000939\sub-A3710\sub-A3710_behavior+ecephys.nwb,A3710,Open field and sleep recording,2020-06-09 00:00:00-04:00,"{'subject_id': 'A3710', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",107
data\raw\dandi_000939\000939\sub-A3711\sub-A3711_behavior+ecephys.nwb,A3711,Open field and sleep recording,2020-08-10 00:00:00-04:00,"{'subject_id': 'A3711', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",142
data\raw\dandi_000939\000939\sub-A3712\sub-A3712_behavior+ecephys.nwb,A3712,Open field and sleep recording,2020-09-03 00:00:00-04:00,"{'subject_id': 'A3712', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",126
data\raw\dandi_000939\000939\sub-A3713\sub-A3713_behavior+ecephys.nwb,A3713,Open field and sleep recording,2020-09-09 00:00:00-04:00,"{'subject_id': 'A3713', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",88
data\raw\dandi_000939\000939\sub-A3716\sub-A3716_behavior+ecephys.nwb,A3716,Open field and sleep recording,2020-10-15 00:00:00-04:00,"{'subject_id': 'A3716', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",147
data\raw\dandi_000939\000939\sub-A3717\sub-A3717_behavior+ecephys.nwb,A3717,Open field and sleep recording,2020-10-21 00:00:00-04:00,"{'subject_id': 'A3717', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",98
data\raw\dandi_000939\000939\sub-A3723\sub-A3723_behavior+ecephys.nwb,A3723,Open field and sleep recording,2020-11-15 00:00:00-05:00,"{'subject_id': 'A3723', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",68
data\raw\dandi_000939\000939\sub-A3728\sub-A3728_behavior+ecephys.nwb,A3728,Open field and sleep recording,2021-03-09 00:00:00-05:00,"{'subject_id': 'A3728', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",42
data\raw\dandi_000939\000939\sub-A3730\sub-A3730_behavior+ecephys.nwb,A3730,Open field and sleep recording,2021-03-23 00:00:00-04:00,"{'subject_id': 'A3730', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",77
data\raw\dandi_000939\000939\sub-A5505\sub-A5505_behavior+ecephys.nwb,A5505,Open field and sleep recording,2020-08-31 00:00:00-04:00,"{'subject_id': 'A5505', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",55
data\raw\dandi_000939\000939\sub-A5506\sub-A5506_behavior+ecephys.nwb,A5506,Open field and sleep recording,2020-09-14 00:00:00-04:00,"{'subject_id': 'A5506', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",49
data\raw\dandi_000939\000939\sub-A5507\sub-A5507_behavior+ecephys.nwb,A5507,Open field and sleep recording,2020-09-20 00:00:00-04:00,"{'subject_id': 'A5507', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",96
data\raw\dandi_000939\000939\sub-A5508\sub-A5508_behavior+ecephys.nwb,A5508,Open field and sleep recording,2020-09-30 00:00:00-04:00,"{'subject_id': 'A5508', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",52
data\raw\dandi_000939\000939\sub-A5801\sub-A5801_behavior+ecephys.nwb,A5801,Open field and sleep recording,2020-09-24 00:00:00-04:00,"{'subject_id': 'A5801', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",46
data\raw\dandi_000939\000939\sub-A6211\sub-A6211_behavior+ecephys+ogen.nwb,A6211,Open field and sleep recording,2021-04-07 00:00:00-04:00,"{'subject_id': 'A6211', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys', 'ogen']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",61
data\raw\dandi_000939\000939\sub-A6215\sub-A6215_behavior+ecephys+ogen.nwb,A6215,Open field and sleep recording,2021-06-10 00:00:00-04:00,"{'subject_id': 'A6215', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys', 'ogen']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",56
data\raw\dandi_000939\000939\sub-A6216\sub-A6216_behavior+ecephys+ogen.nwb,A6216,Open field and sleep recording,2021-06-23 00:00:00-04:00,"{'subject_id': 'A6216', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys', 'ogen']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",75
data\raw\dandi_000939\000939\sub-A9701\sub-A9701_behavior+ecephys+ogen.nwb,A9701,Open field and sleep recording,2021-08-05 00:00:00-04:00,"{'subject_id': 'A9701', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys', 'ogen']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",61
