regularization,noise_std,actual_duration_s,stopped_early,finite_trajectory,initial_distance_median,minimum_distance_median,minimum_distance_time_s,distance_1s_median,final_distance_median,final_distance_max,final_angular_drift_median_deg,max_abs_state
1e-06,0.05,3.857,True,True,0.05077859553606524,0.01496303806752766,0.1,0.057205583768885016,13342405.321142696,36746685844.91581,45.008620096673496,1001456205824.0
1e-06,0.1,3.753,True,True,0.10155718755394207,0.02990492775184659,0.1,0.10490604595869124,69007884.66180149,37047308895.09686,45.01724020903444,1009649057792.0
1e-06,0.2,3.7030000000000003,True,True,0.20311437556584155,0.05914805328578355,0.2,0.21620009001407575,119170373.82860702,37001471661.76875,45.03448040006686,1008399876096.0
1e-06,0.5,3.511,True,True,0.5077859437700569,0.14374226427789094,0.2,0.35697401696197945,9443328810.307991,37081243467.429,66.68256062125388,1010573901824.0
1e-06,1.0,3.015,True,True,1.015571882967835,0.28830902857028784,0.2,3.975634264826122,444714114.3629172,36828673571.15874,66.76512120669915,1003690590208.0
3e-06,0.05,4.3,True,True,0.05077859553606524,0.013783500796418057,0.2,0.0395419617957151,2521184.0899035796,36637256129.82569,23.401385591048395,1002684350464.0
3e-06,0.1,4.101,True,True,0.10155718755394207,0.02745397476943584,0.2,0.07292598875231185,7793998.532238775,36650800455.79169,23.402771128129434,1003055022080.0
3e-06,0.2,3.964,True,True,0.20311437556584155,0.0544339970252559,0.2,0.1349069429266746,12582923.989027243,36830670405.0014,45.03448040006686,1007977693184.0
3e-06,0.5,3.73,True,True,0.5077859437700569,0.13250648843893442,0.2,0.2624305352219394,393574763.2784755,36569548504.15348,66.68256062125388,1000831320064.0
3e-06,1.0,3.201,True,True,1.015571882967835,0.26257618289711915,0.2,0.8891331625085406,631508448.9559178,36761695343.44977,66.76512120669915,1006089994240.0
1e-05,0.05,5.922,True,True,0.05077859553606524,0.011409445893537977,0.2,0.014285243187562451,88.31700294039757,36077769818.163795,4.036896692824925,1003613519872.0
1e-05,0.1,5.981,True,True,0.10155718755394207,0.02252616929473491,0.2,0.03132294941998077,8235.391946503605,36186182473.85922,4.087310320470692,1006629355520.0
1e-05,0.2,5.279,True,True,0.20311437556584155,0.044640181252045746,0.2,0.058534063198228334,694.8939013647329,36138786221.02815,4.186518918318195,1005310705664.0
1e-05,0.5,4.618,True,True,0.5077859437700569,0.1107340844946974,0.2,0.14266420557012985,3485.679330647982,36061055516.9319,23.41385572227382,1003148410880.0
1e-05,1.0,4.096,True,True,1.015571882967835,0.22913938020327568,0.2,0.2714275302101663,8966172.97342055,36182340512.770134,23.427711433402614,1006522466304.0
3e-05,0.05,16.591,True,True,0.05077859553606524,0.010092470233317337,0.5,0.011168746733713614,0.06441733458327945,38890027453.73372,0.4883011292210603,1001262481408.0
3e-05,0.1,13.711,True,True,0.10155718755394207,0.013046409500417133,10.0,0.017182540850681306,0.019874527656132148,38878286420.28673,0.38882457203085297,1000960884736.0
3e-05,0.2,12.386000000000001,True,True,0.20311437556584155,0.014148392987323117,12.386000000000001,0.03183424780064907,0.014148392987323117,38907061742.89043,0.43239403957050715,1001701048320.0
3e-05,0.5,10.613,True,True,0.5077859437700569,0.01666208206316145,10.0,0.06767766649161089,0.016733746872861603,38920927946.67208,0.9369944374134473,1002058088448.0
3e-05,1.0,9.916,True,True,1.015571882967835,0.14908798211796745,2.0,0.15172295124393004,0.1750103264944819,38918266525.04698,2.438548895337319,1001989537792.0
4e-05,0.05,30.0,False,True,0.05077859553606524,0.009859534213141268,0.2,0.010302899713475679,0.05354887592670255,12372760078.240461,1.0518164306427555,696471060480.0
4e-05,0.1,28.705000000000002,True,True,0.10155718755394207,0.011162448476493472,5.0,0.015343043570251343,0.07960870613856223,59706309031.29138,1.0447021215584074,1000017559552.0
4e-05,0.2,28.322,True,True,0.20311437556584155,0.010749794318473093,10.0,0.027210981255975895,0.04185038901939037,59493439515.18697,0.5763343755455361,1000666300416.0
4e-05,0.5,20.496,True,True,0.5077859437700569,0.011213849383207183,10.0,0.06419921222142717,0.011711271918755616,53242908069.437744,0.5000347918593558,1000981987328.0
4e-05,1.0,19.437,True,True,1.015571882967835,0.0227735441310381,19.437,0.13684394381365164,0.0227735441310381,53198537927.2391,1.808009585986283,1000030535680.0
5e-05,0.05,30.0,False,True,0.05077859553606524,0.009666783921646875,0.2,0.009727870718572736,0.012937366256830209,444.7265202830595,0.546643216311429,6554.82568359375
5e-05,0.1,30.0,False,True,0.10155718755394207,0.010803716381117115,5.0,0.013933140726020667,0.012777048768962723,23209.386498945554,0.5446225262394889,344606.96875
