beta,seed,run_dir,gaussian_correlation,learned_width,theoretical_width,width_relative_error,translation_invariance_error,learned_amplitude,weight_update_norm,weight_norm,weight_max,rate_sum,rate_peak_to_baseline,rate_vector_strength,row_contrast_median,selective_row_fraction,learned_position_coverage_fraction,weight_mode,learning_enabled,completed_steps,simulated_duration
0.25,11,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_0.25\20260715-201942_seed11,0.9535945162186581,4.968425802803458,3.273268353539885,0.5178791550745726,0.6442902385884213,14.490439148741556,0.0005368059977064842,15.355409179014998,3.842816751189212,1.2267491026919657,1.1718325655570834,0.9979859350465731,1.0,0.59375,0.46875,random,True,200000,999.999999999163
0.25,12,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_0.25\20260715-201947_seed12,0.9503393430817089,4.993560704948136,3.273268353539885,0.5255579945187921,0.47005939004210096,14.753803634310536,0.0005460616666965442,14.729825650438347,3.562602233679241,1.2266108197094907,1.1717309877156612,0.9979601093323163,1.0,0.6875,0.625,random,True,200000,999.999999999163
0.25,13,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_0.25\20260715-201952_seed13,0.9521182679664978,4.972302359022359,3.273268353539885,0.5190634625618303,0.41384112623039265,15.911382192643703,0.0003242761365252238,14.634179243099634,3.253717852525226,1.2200509051617812,0.8093894987608766,0.996004378472656,1.0,0.75,0.5625,random,True,200000,999.999999999163
0.5,11,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_0.5\20260715-201958_seed11,0.983086587490757,6.537413030511124,5.0,0.30748260610222483,0.5676604576945714,16.210099019526883,0.0004711115876752808,12.790817572280345,2.6051262014428773,1.2107221189357296,0.9920904435483874,0.9860570001376725,1.0,0.6875,0.5625,random,True,200000,999.999999999163
0.5,12,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_0.5\20260715-202002_seed12,0.980749767034074,6.609986818751922,5.0,0.32199736375038446,0.532192859874763,16.428265550744374,0.0004672883303309571,12.512633742203096,2.5221914524418865,1.2093921738184954,0.9233296979564758,0.9888747056616576,1.0,0.65625,0.53125,random,True,200000,999.999999999163
0.5,13,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_0.5\20260715-202006_seed13,0.9820049123187334,6.538987215537403,5.0,0.30779744310748053,0.5081649236070854,17.033143216504875,0.0002773393442112052,12.633739835961109,2.0969969701688016,1.2107048712116324,0.5332402471100931,0.977236609247816,1.0,0.84375,0.65625,random,True,200000,999.999999999163
0.75,11,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_0.75\20260715-202010_seed11,0.9891155225989506,8.879959415789449,6.708203932499369,0.32374619274296834,0.47593190431402066,18.586291439905438,0.000371433283346803,11.986084766468338,1.9679361282293533,1.196586318471764,0.7176824327894595,0.9403017361388895,0.9979822560240518,0.6875,0.53125,random,True,200000,999.999999999163
0.75,12,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_0.75\20260715-202015_seed12,0.9869276877549056,8.798593589419035,6.708203932499369,0.311616891488989,0.4370351971253776,18.780064442564704,0.00037117822823613697,11.790717379938528,1.9289794380784662,1.1993042209345497,0.6501458900124912,0.9507219913048218,0.9980505367726475,0.8125,0.59375,random,True,200000,999.999999999163
0.75,13,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_0.75\20260715-202020_seed13,0.9904904973421601,8.559019447305436,6.708203932499369,0.27590328699450895,0.48308739396184824,19.136802418457677,0.0002549208459778378,12.062487868677868,1.5324122137996223,1.2039796604020752,0.3873348103085543,0.9359539141466304,0.99863395631664,0.84375,0.59375,random,True,200000,999.999999999163
1.0,11,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_1\20260715-202025_seed11,0.9957892543652901,12.323309072132218,8.660254037844386,0.4229731620204989,0.3959265935604774,22.554168995875028,0.0002815547460473292,12.037935707039546,1.6397018943293982,1.1913066514412445,0.4682253175450832,0.843509914381623,0.9642443976429425,0.75,0.53125,random,True,200000,999.999999999163
1.0,12,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_1\20260715-202029_seed12,0.9955198782694799,12.074358945476623,8.660254037844386,0.39422687749261903,0.36581611687287025,22.279745730297282,0.0003022543307842026,11.849343517613304,1.5981974755463837,1.194116247822693,0.4774634601024247,0.8597899036720056,0.9647280286459643,0.9375,0.65625,random,True,200000,999.999999999163
1.0,13,D:\codefiles\python\diordered-circuits\prospective\reports\beta_sweep\20260715-201942\runs\beta_1\20260715-202033_seed13,0.9955241873948905,11.647168779868787,8.660254037844386,0.34489920607085,0.3847513199171923,22.56845647992246,0.0002340014873482365,12.067012829349101,1.2819873728774867,1.1989264856337654,0.30585910444385866,0.8698473569586676,0.9638194849045822,0.84375,0.5625,random,True,200000,999.999999999163
